text ,domain,name ,kind ,model
"On the 18th, we finished the journey by a nine mile march to Bocking, and there settled down",CollegeEssay_real_70,Real College Essays,Human-Written,Human
"into billets for the rest of our time in England. Though we were spoilt at Harpenden, we are",CollegeEssay_real_71,Real College Essays,Human-Written,Human
sure that all ranks have nothing but pleasant recollections of the time spent at Braintree,CollegeEssay_real_72,Real College Essays,Human-Written,Human
"and Bocking, where one and all treated us with the greatest kindness, and we hope were sorry",CollegeEssay_real_73,Real College Essays,Human-Written,Human
"to lose us. Where all were so kind it is almost invidious to mention names, but one feels (though",CollegeEssay_real_74,Real College Essays,Human-Written,Human
they themselves would be the first to deny it) that a special debt of gratitude is owed to,CollegeEssay_real_75,Real College Essays,Human-Written,Human
"the Nuns of the Convent at Booking, whose kindness and care for those who were billeted at",CollegeEssay_real_76,Real College Essays,Human-Written,Human
"the Convent, and for all with whom they came in contact, were beyond all praise.",CollegeEssay_real_77,Real College Essays,Human-Written,Human
,CollegeEssay_real_78,Real College Essays,Human-Written,Human
In order to prepare for any possible German landing on the Essex coast orders had been issued,CollegeEssay_real_79,Real College Essays,Human-Written,Human
"for a series of trenches to be dug to form defensive lines for the protection of London, and",CollegeEssay_real_80,Real College Essays,Human-Written,Human
"we were at once set on to this work, which was pushed on as rapidly as possible, systems of",CollegeEssay_real_81,Real College Essays,Human-Written,Human
"trenches, redoubts, gun positions, and other defensive works being put in hand. Our work was",CollegeEssay_real_82,Real College Essays,Human-Written,Human
"mainly at Panfield, Marks Farm and Black Notley. It was not an ideal season for trench digging,",CollegeEssay_real_83,Real College Essays,Human-Written,Human
"especially in the clay of Essex, which was the ""genuine"" article, and we were glad when the",CollegeEssay_real_84,Real College Essays,Human-Written,Human
bulk of it was finished by Christmas. This work was carried out under Royal Engineers' supervision,CollegeEssay_real_85,Real College Essays,Human-Written,Human
"and was in some ways instructive, although we thought that the principles we had been taught",CollegeEssay_real_86,Real College Essays,Human-Written,Human
in the Military Manuals were frequently violated by the siting of trenches along the sides,CollegeEssay_real_87,Real College Essays,Human-Written,Human
"of prominent hedgerows. Nevertheless, what we did was more after the nature of what we were",CollegeEssay_real_88,Real College Essays,Human-Written,Human
"to meet in France, and therefore of considerable practical value. That our work was satisfactory",CollegeEssay_real_89,Real College Essays,Human-Written,Human
"was testified to by the insertion in Central Force Orders of January 23rd, 1915, of the General",CollegeEssay_real_90,Real College Essays,Human-Written,Human
Officer Commanding-in-Chief's keen appreciation of the soldierly spirit and enthusiasm shewn,CollegeEssay_real_91,Real College Essays,Human-Written,Human
"for the work by all ranks. All the same, we have no regrets that it was never necessary to",CollegeEssay_real_92,Real College Essays,Human-Written,Human
occupy the trenches for actual warfare.,CollegeEssay_real_93,Real College Essays,Human-Written,Human
,CollegeEssay_real_94,Real College Essays,Human-Written,Human
Owing to another scare Christmas leave was cancelled. Scarborough had been bombarded on December,CollegeEssay_real_95,Real College Essays,Human-Written,Human
"22nd, and there was apparently a bit of a ""breeze."" According to one writer this was due to",CollegeEssay_real_96,Real College Essays,Human-Written,Human
a little lack of liaison between our Naval and Military authorities. The former had apparently,CollegeEssay_real_97,Real College Essays,Human-Written,Human
"spread a rumour that an invasion of the German Coast was to take place, and the enemy concentrated",CollegeEssay_real_98,Real College Essays,Human-Written,Human
numbers of troops there in case it happened. This concentration came to the knowledge of our,CollegeEssay_real_99,Real College Essays,Human-Written,Human
"military spies, who, however were not told of the cause, and their report appears to have caused",CollegeEssay_real_100,Real College Essays,Human-Written,Human
"our War Office to think that an invasion of England was contemplated. We were not, however,",CollegeEssay_real_101,Real College Essays,Human-Written,Human
"by any means dull at Christmas. On December 24th, we beat the 6th Battalion 2--1 in the first",CollegeEssay_real_102,Real College Essays,Human-Written,Human
"round of the Divisional Football competition, Vann being skipper, and in the evening the Warrant",CollegeEssay_real_103,Real College Essays,Human-Written,Human
Officers and N.C.O.'s had a dance at Braintree Corn Exchange. On Christmas Day there was Church,CollegeEssay_real_104,Real College Essays,Human-Written,Human
"Parade at Braintree, when the Bishop of Derby preached. Later, dinners were issued on a sumptuous",CollegeEssay_real_105,Real College Essays,Human-Written,Human
